id;type_bon;beneficiaire;fonction;fournisseur;numero_facture;date
1;SORTIE;contingency TCP;Auto Open-architected;Awesome;Implemented disintermediate;2021-10-06
2;ENTREE;Granite programming Bacon;ADP Rubber Directeur;extranet Buckinghamshire;benchmark payment Keyboard;2021-10-06
3;SORTIE;primary sensor;indigo;b Outdoors;interface;2021-10-07
4;SORTIE;Berkshire Tuna;a Mandatory Baht;b Berkshire Auto;SMTP b Shirt;2021-10-06
5;ENTREE;Croatie Poitou-Charentes;cyan Bike;Licensed Wooden;User-centric;2021-10-06
6;SORTIE;repurpose Charron Krone;directional Superviseur;Cotton optimize 1080p;HDD;2021-10-06
7;SORTIE;Superviseur;bypass haptic Stagiaire;quantify Paix Fresh;Rubber bluetooth;2021-10-07
8;SORTIE;Credit gold;b static;d'Argenteuil;Chine THX;2021-10-06
9;SORTIE;Bacon Hongrie alarm;vortals red bluetooth;Île-de-France;systems;2021-10-06
10;ENTREE;Fresh Cambridgeshire input;CSS Rubber;Outdoors Picardie;Refined Multi-tiered;2021-10-06
