id;nom_concours;date_ouverture;date_cloture;nbre_candidats;date_concours;date_deliberation;nbre_admis
1;wireless;2022-06-12;2022-06-13;73819;2022-06-13;2022-06-12;93208
2;Account Ukraine;2022-06-12;2022-06-12;54594;2022-06-12;2022-06-13;78212
3;Automotive transmitting;2022-06-12;2022-06-12;95913;2022-06-12;2022-06-12;88092
4;du withdrawal c;2022-06-13;2022-06-13;13729;2022-06-13;2022-06-12;1120
5;interface;2022-06-12;2022-06-12;89966;2022-06-12;2022-06-12;92110
6;Outdoors exploit;2022-06-12;2022-06-12;75430;2022-06-13;2022-06-13;97903
7;Charron Pants Avon;2022-06-13;2022-06-12;22580;2022-06-12;2022-06-13;13825
8;interfaces facilitate Intelligent;2022-06-12;2022-06-12;38290;2022-06-13;2022-06-13;15840
9;Shirt Cotton;2022-06-13;2022-06-13;91645;2022-06-13;2022-06-13;90960
10;primary;2022-06-13;2022-06-13;84289;2022-06-12;2022-06-13;40299
