id;type;autres;jhi_option;status
1;STEG;AGP enterprise Île-de-France;FORMATION_PROFESSIONNELLE;ABSENT
2;BTS;withdrawal;FORMATION_PROFESSIONNELLE;ABSENT
3;STIDD;Sleek asymmetric;FORMATION_PROFESSIONNELLE;REUSSI
4;S5;a;FORMATION_PROFESSIONNELLE;ABSENT
5;AUTRES;Optional synthesizing Cross-platform;ENSEIGNEMENT_TECHNIQUE;ECHEC
6;STIDD;Money;ENSEIGNEMENT_TECHNIQUE;ABSENT
7;AUTRES;b orange;ENSEIGNEMENT_TECHNIQUE;ECHEC
8;BT;Sleek compressing;ENSEIGNEMENT_TECHNIQUE;ECHEC
9;F6;Nord-Pas-de-Calais;FORMATION_PROFESSIONNELLE;ECHEC
10;BT;Concrete Cheese;ENSEIGNEMENT_TECHNIQUE;REUSSI
