id;nom_formation;type_formation;niveau_formation;duree;secteur;modalite
1;Shirt olive;grey;bus Granite Saint-Honoré;89191;Azerbaïdjan de bi-directional;protocol solution
2;incubate Granite overriding;firewall next;leverage Pataca;43125;Investment;Unbranded Ball
3;Extended transmitter;mobile;Ball Kwanza;29279;leading-edge;composite Granite
4;framework;reboot schemas;Botswana;30146;a TCP sensor;generate Coordinateur
5;dynamic Car;invoice Ouzbékistan;XML Argentine;74735;Wooden impactful;Agent payment haptic
6;Buckinghamshire focus synthesize;Sports Clothing program;transparent cross-platform interfaces;49320;Bourgogne card Account;Borders data-warehouse
7;Plastic bandwidth;multi-byte;THX SQL Steel;70600;d'Azur conglomeration;Cheese cross-platform Berkshire
8;Account backing;b Automotive;Intuitive;33254;HTTP withdrawal encryption;Computer Handmade
9;de functionalities;maximize;panel Seamless;23449;Operative Secured;multi-byte
10;implementation Frozen;haptic Granite c;architectures Intelligent Picardie;31549;compress Buckinghamshire global;open-source USB Rustic
