id;region;departement_dakar;departement_diourbel;departement_fatick;departement_kaffrine;departement_kaolack;departement_kedougou;departement_kolda;departement_louga;departement_matam;departement_saint;departement_sedhiou;departement_tambacounda;departement_this;departement_zic;ia
1;DIOURBEL;DAKAR;BAMBAEY;FOUNDIOUGNE;KAFFRINE;NIORO;SARAYA;KOLDA;LOUGA;MATAM;SAINT_LOUIS;SEDHIOU;BAKEL;TIVAOUANE;ZICHUINCHOR;Account
2;DIOURBEL;RUFISQUE;BAMBAEY;FOUNDIOUGNE;KAFFRINE;GUINGUINEO;SARAYA;KOLDA;KEBEMERE;RANEROU_FERLO;DAGANA;BOUNKILING;KOUMPENTOUM;TIVAOUANE;BIGNONA;Champagne-Ardenne fuchsia bypass
3;KEDOUGOU;DAKAR;BAMBAEY;GOSSAS;KAFFRINE;NIORO;SALAMATA;KOLDA;LOUGA;MATAM;DAGANA;SEDHIOU;TAMBACOUNDA;THIES;ZICHUINCHOR;Technicien applications withdrawal
4;ZIGINCHOR;RUFISQUE;BAMBAEY;FOUNDIOUGNE;BIRKILANE;GUINGUINEO;SALAMATA;KOLDA;KEBEMERE;KANELKANEL;PODOR;GOUDOMP;GOUDIRY;THIES;OUSSOUYE;Oberkampf salmon transmitting
5;DIOURBEL;RUFISQUE;MBACKE;FOUNDIOUGNE;BIRKILANE;GUINGUINEO;SARAYA;KOLDA;LINGUERE;RANEROU_FERLO;PODOR;BOUNKILING;GOUDIRY;MBOUR;OUSSOUYE;Loan SAS
6;SEDHIOU;DAKAR;DIOURBEL;GOSSAS;MALEM_HODAR;NIORO;SALAMATA;MEDINA_YORO_FOULAH;LOUGA;KANELKANEL;SAINT_LOUIS;SEDHIOU;KOUMPENTOUM;THIES;BIGNONA;vertical
7;KAFFRINE;DAKAR;DIOURBEL;FOUNDIOUGNE;MALEM_HODAR;GUINGUINEO;SARAYA;MEDINA_YORO_FOULAH;KEBEMERE;RANEROU_FERLO;PODOR;BOUNKILING;GOUDIRY;THIES;ZICHUINCHOR;online
8;KOLDA;DAKAR;MBACKE;GOSSAS;MALEM_HODAR;KAOLOACK;KEDOUGOU;KOLDA;LINGUERE;RANEROU_FERLO;SAINT_LOUIS;BOUNKILING;TAMBACOUNDA;THIES;BIGNONA;whiteboard c Nord-Pas-de-Calais
9;DIOURBEL;RUFISQUE;MBACKE;FATICK;MALEM_HODAR;GUINGUINEO;KEDOUGOU;MEDINA_YORO_FOULAH;LINGUERE;RANEROU_FERLO;DAGANA;BOUNKILING;GOUDIRY;THIES;OUSSOUYE;SQL
10;THIES;RUFISQUE;MBACKE;FATICK;MALEM_HODAR;KAOLOACK;SARAYA;VELINGARA;KEBEMERE;KANELKANEL;SAINT_LOUIS;BOUNKILING;KOUMPENTOUM;MBOUR;OUSSOUYE;rich Auvergne
