id;nature;description;solution
1;SOCIAUX;../fake-data/blob/hipster.txt;Île-de-France program metrics
2;TECHNIQUE;../fake-data/blob/hipster.txt;hacking
3;SOCIAUX;../fake-data/blob/hipster.txt;back-end
4;SOCIAUX;../fake-data/blob/hipster.txt;c cyan
5;PEDAGOGIQUE;../fake-data/blob/hipster.txt;Franc
6;ADMINISTRATIF;../fake-data/blob/hipster.txt;hack ROI
7;FINANCIER;../fake-data/blob/hipster.txt;redundant Wooden sensor
8;SOCIAUX;../fake-data/blob/hipster.txt;Leone engineer secured
9;ADMINISTRATIF;../fake-data/blob/hipster.txt;XSS functionalities
10;PEDAGOGIQUE;../fake-data/blob/hipster.txt;mobile strategy Shoes
