id;libelle_materiel;type_group;provenance;fournisseur;date
1;HDD executive Pizza;GROUP2;PARTENAIRE;Practical;2021-12-08
2;online seamless array;GROUP1;PARTENAIRE;motivating repurpose end-to-end;2021-12-09
3;Account silver;GROUP1;ETAT;compressing c c;2021-12-08
4;Fantastic;GROUP1;PARTENAIRE;generating backing;2021-12-09
5;deposit;GROUP2;PARTENAIRE;schemas feed Dauphine;2021-12-09
6;client-server withdrawal payment;GROUP2;ETAT;secondary relationships Investment;2021-12-08
7;TCP c;GROUP1;ETAT;Manager Platinum;2021-12-09
8;Small hacking;GROUP2;ETAT;b;2021-12-09
9;white De-engineered;GROUP2;PARTENAIRE;compressing THX;2021-12-09
10;Car;GROUP1;PARTENAIRE;monitor c b;2021-12-09
