id;type;autre_recette;type_ressource;montant;date
1;PRESTATIONS_DIVERSES;global exploit;Aquitaine scalable;connecting Administrateur cultivate;2021-09-10
2;SUBVENTION_ETAT;standardization Bike neural;alarm Centre;Account deposit;2021-09-09
3;PRESTATIONS_DIVERSES;Soft Lesotho;migration;Ball sticky Tuna;2021-09-10
4;AUTRES;neural;generating;bus b;2021-09-10
5;DONS;XML definition de;neutral;du;2021-09-09
6;AUTRES;scalable;payment override;Executif pixel Account;2021-09-10
7;PRESTATIONS_DIVERSES;magenta Tasty;Cordoba;pink Analyste;2021-09-09
8;PRESTATIONS_DIVERSES;1080p c;Borders Unbranded de;multimedia Pants;2021-09-10
9;AUTRES;Poitou-Charentes;c violet;saoudite;2021-09-10
10;DONS;sky;technologies Tasty;Cheese payment tan;2021-09-09
