id;nombre_salleclasse;nombre_ateliers;specialiase;nombre_salle_specialise;justification_salle_spe;cdi;nombre_cdi;justifiactif_salle_cdi;jum;salle_jum;justifiactif_salle_jum;autre_salle
1;compressing zero ROI;Ergonomic partnerships Games;OUI;exploit green;../fake-data/blob/hipster.txt;OUI;Practical Stagiaire;../fake-data/blob/hipster.txt;OUI;Interface panel a;../fake-data/blob/hipster.txt;Sénégal a Gorgeous
2;Tenge granular Fresh;synergies sticky;NON;Granite core Coordinateur;../fake-data/blob/hipster.txt;NON;b protocol;../fake-data/blob/hipster.txt;NON;parsing;../fake-data/blob/hipster.txt;Incredible THX
3;d'Assas Computers;synthesizing;NON;invoice;../fake-data/blob/hipster.txt;OUI;Customizable analyzing Tasty;../fake-data/blob/hipster.txt;OUI;Rustic;../fake-data/blob/hipster.txt;du e-business azure
4;a Virtual;Rustic Frozen;OUI;overriding Music;../fake-data/blob/hipster.txt;NON;bluetooth Keyboard;../fake-data/blob/hipster.txt;OUI;system Plastic;../fake-data/blob/hipster.txt;multimedia Checking Steel
5;Steel Fresh;Fresh Riel d'Alésia;NON;card Granite Saussaies;../fake-data/blob/hipster.txt;NON;Borders;../fake-data/blob/hipster.txt;OUI;neural Kwanza open;../fake-data/blob/hipster.txt;Ingenieur Haute-Normandie Account
6;programming;UIC-Franc;NON;plug-and-play Account;../fake-data/blob/hipster.txt;OUI;a;../fake-data/blob/hipster.txt;OUI;Avon synergy;../fake-data/blob/hipster.txt;Bike Re-contextualized optimize
7;Tools base web-enabled;drive Salad red;NON;up withdrawal mobile;../fake-data/blob/hipster.txt;OUI;République Handcrafted;../fake-data/blob/hipster.txt;OUI;Quetzal;../fake-data/blob/hipster.txt;up Profit-focused back-end
8;Berkshire;Delesseux;NON;next-generation;../fake-data/blob/hipster.txt;NON;sensor Account Movies;../fake-data/blob/hipster.txt;NON;deposit Account Computers;../fake-data/blob/hipster.txt;l'Abbaye recontextualize
9;Saint-Séverin;exploit AI Nord-Pas-de-Calais;NON;recontextualize;../fake-data/blob/hipster.txt;OUI;copying Administrateur e-tailers;../fake-data/blob/hipster.txt;OUI;Manager Ouguiya;../fake-data/blob/hipster.txt;orchid a invoice
10;de back-end;Steel;NON;global AI;../fake-data/blob/hipster.txt;NON;Interface;../fake-data/blob/hipster.txt;OUI;Tools a visualize;../fake-data/blob/hipster.txt;Saint-Marin Coordinateur
